order_id,customer_id,order_date,status
101,1,2022-02-01,completed
102,1,2022-03-15,completed
103,2,2022-03-20,shipped
104,3,2022-04-01,completed
105,3,2022-04-05,cancelled
106,4,2022-01-10,completed
107,5,2022-06-01,pending
108,6,2022-07-01,completed
109,7,2022-02-15,completed
110,8,2022-08-01,shipped
111,9,2022-05-10,completed
112,10,2022-09-01,completed
113,1,2023-01-20,completed
114,2,2023-02-01,pending
115,11,2023-01-15,completed
116,4,2022-12-20,completed
117,5,2022-06-15,completed
118,6,2022-07-20,cancelled
119,10,2022-10-05,shipped
120,8,2022-08-20,completed
121,3,2023-03-01,completed
122,7,2023-02-10,completed
123,9,2022-11-11,completed
124,11,2023-03-15,pending
125,1,2023-04-01,completed
